a	a!
kaččojannu	k a! ch o j a n n u
kaččojannu	k a! ch ch o j a n n u
kaččojen	k a! ch o j e n
kaččojen	k a! ch ch o j e n
kaččojes	k a! ch o j e s
kaččojes	k a! ch ch o j e s
kaččomah	k a! ch o m a h
kaččomah	k a! ch ch o m a h
kaččomas	k a! ch o m a s
kaččomas	k a! ch ch o m a s
kaččomattah	k a! ch o m a t a h
kaččomattah	k a! ch ch o m a t a h
kaččomattah	k a! ch o m a t t a h
kaččomattah	k a! ch ch o m a t t a h
kaččou	k a! ch o u
kaččou	k a! ch ch o u
kaččuo	k a! ch u o
kaččuo	k a! ch ch u o
kaššalih	k a! sh a l' i h
kaššalih	k a! sh sh a l' i h
kaššaliloi	k a! sh a l' i l o j
kaššaliloi	k a! sh sh a l' i l o j
kaži	k a! zh i^
kažil	k a! zh i^ l
kažile	k a! zh i^ l' e
kažin	k a! zh i^ n
kažinke	k a! zh i^ n k' e
kažinpoigažen	k a! zh i^ n p o j g a zh e n
kažinpoigu	k a! zh i^ n p o j g u
kebjei	k' e! b j e j
kebjembi	k' e! b j e m b' i
kebjendäy	k' e! b j e n d' ae y
kebjieh	k' e! b j i e h
kebjiet	k' e! b j i e t
kebjimäh	k' e! b j i m' ae h
kedä	k' e! d' ae
kegäleh	k' e! g' ae l' e h
keh	k' e! h
kehitti	k' e! h' i t' i
kehitti	k' e! h' i t' t' i
kehittiä	k' e! h' i t' i ae
kehittiä	k' e! h' i t' t' i ae
kehoitetah	k' e! h o j t' e t a h
kehoitettih	k' e! h o j t' e t' i h
kehoitettih	k' e! h o j t' e t' t' i h
kehtuau	k' e! h t u a u
keitettih	k' e! j t' e t' i h
keitettih	k' e! j t' e t' t' i h
keitetäh	k' e! j t' e t' ae h
keitiimmö	k' e! j t' i: m' oe
keitiimmö	k' e! j t' i: m' m' oe
keittäjän	k' e! j t' ae j ae n
keittäjän	k' e! j t' t' ae j ae n
keitändyperti	k' e! j t' ae n d' y p' e r t' i
keitändypertii	k' e! j t' ae n d' y p' e r t' i:
keität	k' e! j t' ae t
kekki	k' e! k' i
kekki	k' e! k' k' i
kel	k' e! l
kel'l'anoččah	k' e! l' a n o ch a h
kel'l'anoččah	k' e! l' l' a n o ch a h
kel'l'anoččah	k' e! l' a n o ch ch a h
kel'l'anoččah	k' e! l' l' a n o ch ch a h
kel'l'uniemen	k' e! l' u n' i e m' e n
kel'l'uniemen	k' e! l' l' u n' i e m' e n
kel'l'y	k' e! l' y
kel'l'y	k' e! l' l' y
kelbo	k' e! l b o
keldastu	k' e! l d a s t u
keldazet	k' e! l d a z' e t
keldazih	k' e! l d a z' i h
keldažen	k' e! l d a zh e n
kele	k' e! l' e
kelhäi	k' e! l h' ae j
keljah	k' e! l j a h
keljan	k' e! l j a n
keljas	k' e! l j a s
kelju	k' e! l j u
keljua	k' e! l j u a
kelle	k' e! l' e
kelle	k' e! l' l' e
kellebo	k' e! l' e b o
kellebo	k' e! l' l' e b o
kello	k' e! l o
kello	k' e! l l o
kellyniemi	k' e! l' y n' i e m' i
kellyniemi	k' e! l' l' y n' i e m' i
kelläine	k' e! l' ae j n' e
kelläine	k' e! l' l' ae j n' e
kellänočču	k' e! l' ae n o ch u
kellänočču	k' e! l' l' ae n o ch u
kellänočču	k' e! l' ae n o ch ch u
kellänočču	k' e! l' l' ae n o ch ch u
kelvannuh	k' e! l v a n u h
kelvannuh	k' e! l v a n n u h
ken	k' e! n
kenbo	k' e! n b o
kenehtahto	k' e! n' e h t a h t o
kenen	k' e! n' e n
kenenbo	k' e! n' e n b o
kenenny	k' e! n' e n' y
kenenny	k' e! n' e n' n' y
kenentahto	k' e! n' e n t a h t o
kenespäi	k' e! n' e s p' ae j
kengi	k' e! n g' i
kengo	k' e! n g o
kentah	k' e! n t a h
kentahto	k' e! n t a h t o
kepil	k' e! p' i l
kepin	k' e! p' i n
kepkal	k' e! p k a l
kepkan	k' e! p k a n
keppi	k' e! p' i
keppi	k' e! p' p' i
keppižel	k' e! p' i zh e l
keppižel	k' e! p' p' i zh e l
keppižen	k' e! p' i zh e n
keppižen	k' e! p' p' i zh e n
ker	k' e! r
keral	k' e! r a l
kerdaa	k' e! r d a:
kerdah	k' e! r d a h
kerdai	k' e! r d a j
kerdoi	k' e! r d o j
kerdomuksespäi	k' e! r d o m u k s' e s p' ae j
kerdomuksii	k' e! r d o m u k s' i:
kerdomuksiigi	k' e! r d o m u k s' i: g' i
kerdomus	k' e! r d o m u s
kerdu	k' e! r d u
kerdua	k' e! r d u a
kerdyi	k' e! r d' y j
kere	k' e! r' e
kereti	k' e! r' e t' i
kergii	k' e! r g' i:
keritettylöi	k' e! r' i t' e t' y l' oe j
keritettylöi	k' e! r' i t' e t' t' y l' oe j
keriä	k' e! r' i ae
keriämmö	k' e! r' i ae m' oe
keriämmö	k' e! r' i ae m' m' oe
keriämäh	k' e! r' i ae m' ae h
keriän	k' e! r' i ae n
keriät	k' e! r' i ae t
keriättö	k' e! r' i ae t' oe
keriättö	k' e! r' i ae t' t' oe
keroih	k' e! r o j h
kerosinal	k' e! r o s' i n a l
kerosinat	k' e! r o s' i n a t
kerral	k' e! r a l
kerral	k' e! r r a l
kerran	k' e! r a n
kerran	k' e! r r a n
kerras	k' e! r a s
kerras	k' e! r r a s
kerritä	k' e! r' i t' ae
kerritä	k' e! r' r' i t' ae
kerro	k' e! r o
kerro	k' e! r r o
kerroissah	k' e! r o j s a h
kerroissah	k' e! r r o j s a h
kerroissah	k' e! r o j s s a h
kerroissah	k' e! r r o j s s a h
kerroksel	k' e! r o k s' e l
kerroksel	k' e! r r o k s' e l
kerroksen	k' e! r o k s' e n
kerroksen	k' e! r r o k s' e n
kerroksindua	k' e! r o k s' i n d u a
kerroksindua	k' e! r r o k s' i n d u a
kerroksitut	k' e! r o k s' i t u t
kerroksitut	k' e! r r o k s' i t u t
kerron	k' e! r o n
kerron	k' e! r r o n
kerros	k' e! r o s
kerros	k' e! r r o s
kerrottih	k' e! r o t' i h
kerrottih	k' e! r r o t' i h
kerrottih	k' e! r o t' t' i h
kerrottih	k' e! r r o t' t' i h
kerrotto	k' e! r o t o
kerrotto	k' e! r r o t o
kerrotto	k' e! r o t t o
kerrotto	k' e! r r o t t o
kerru	k' e! r u
kerru	k' e! r r u
kerryimmö	k' e! r' y j m' oe
kerryimmö	k' e! r' r' y j m' oe
kerryimmö	k' e! r' y j m' m' oe
kerryimmö	k' e! r' r' y j m' m' oe
kerähmöh	k' e! r' ae h m' oe h
keräi	k' e! r' ae j
keräiltih	k' e! r' ae j l t' i h
keräimmö	k' e! r' ae j m' oe
keräimmö	k' e! r' ae j m' m' oe
keräin	k' e! r' ae j n
keräkkiä	k' e! r' ae k' i ae
keräkkiä	k' e! r' ae k' k' i ae
keräl	k' e! r' ae l
keräle	k' e! r' ae l' e
kerännyh	k' e! r' ae n' y h
kerännyh	k' e! r' ae n' n' y h
kerättih	k' e! r' ae t' i h
kerättih	k' e! r' ae t' t' i h
kerätä	k' e! r' ae t' ae
kerätäh	k' e! r' ae t' ae h
kerävyi	k' e! r' ae v' y j
kerävykkiä	k' e! r' ae v' y k' i ae
kerävykkiä	k' e! r' ae v' y k' k' i ae
kerävymäh	k' e! r' ae v' y m' ae h
kerävynnyh	k' e! r' ae v' y n' y h
kerävynnyh	k' e! r' ae v' y n' n' y h
kerävys	k' e! r' ae v' y s
kerävyttih	k' e! r' ae v' y t' i h
kerävyttih	k' e! r' ae v' y t' t' i h
kerävytäh	k' e! r' ae v' y t' ae h
kerävyy	k' e! r' ae v' y:
kerävyö	k' e! r' ae v' y oe
kerävökniigas	k' e! r' ae v' oe k n' i: g a s
kes	k' e! s
keskeh	k' e! s k' e h
keskekkäi	k' e! s k' e k' ae j
keskekkäi	k' e! s k' e k' k' ae j
keskel	k' e! s k' e l
keskele	k' e! s k' e l' e
keskelekavonnuh	k' e! s k' e l' e k a v o n u h
keskelekavonnuh	k' e! s k' e l' e k a v o n n u h
keskenäh	k' e! s k' e n' ae h
keskes	k' e! s k' e s
keski	k' e! s k' i
keskie	k' e! s k' i e
keskinedälil	k' e! s k' i n' e d' ae l' i l
keskisanal	k' e! s k' i s a n a l
keskoijärvi	k' e! s k o j ae r v' i
keskukseh	k' e! s k u k s' e h
keskuksel	k' e! s k u k s' e l
keskus	k' e! s k u s
keskustan	k' e! s k u s t a n
keskusti	k' e! s k u s t' i
keskuččah	k' e! s k u ch a h
keskuččah	k' e! s k u ch ch a h
kestettih	k' e! s t' e t' i h
kestettih	k' e! s t' e t' t' i h
kestetäh	k' e! s t' e t' ae h
kestiä	k' e! s t' i ae
kestämmö	k' e! s t' ae m' oe
kestämmö	k' e! s t' ae m' m' oe
kestän	k' e! s t' ae n
kestänyh	k' e! s t' ae n' y h
kestäs	k' e! s t' ae s
kestäy	k' e! s t' ae y
kestää	k' e! s t' ae:
ket	k' e! t
ketetäh	k' e! t' e t' ae h
ketin	k' e! t' i n
kettozil	k' e! t o z' i l
kettozil	k' e! t t o z' i l
ketäldänhäi	k' e! t' ae l d' ae n h' ae j
ketän	k' e! t' ae n
keviä	k' e! v' i ae
keviäl	k' e! v' i ae l
keviäs	k' e! v' i ae s
keviässäh	k' e! v' i ae s' ae h
keviässäh	k' e! v' i ae s' s' ae h
kevät	k' e! v' ae t
kevätildu	k' e! v' ae t' i l d u
kevätty	k' e! v' ae t' y
kevätty	k' e! v' ae t' t' y
kezii	k' e! z' i:
keziä	k' e! z' i ae
kezoidu	k' e! z o j d u
kezoil	k' e! z o j l
kezoile	k' e! z o j l' e
kezoinkylvendy	k' e! z o j n k' y l v' e n d' y
kezoitimmo	k' e! z o j t' i m o
kezoitimmo	k' e! z o j t' i m m o
kezä	k' e! z' ae
kezäehtänny	k' e! z' ae e h t' ae n' y
kezäehtänny	k' e! z' ae e h t' ae n' n' y
kezähuondeksel	k' e! z' ae h u o n d' e k s' e l
kezähuondeksennu	k' e! z' ae h u o n d' e k s' e n u
kezähuondeksennu	k' e! z' ae h u o n d' e k s' e n n u
kezäkodvažekse	k' e! z' ae k o d v a zh e k s' e
kezäkse	k' e! z' ae k s' e
kezäkuudu	k' e! z' ae k u: d u
kezäl	k' e! z' ae l
kezämökil	k' e! z' ae m' oe k' i l
kezämökkitalois	k' e! z' ae m' oe k' i t a l o j s
kezämökkitalois	k' e! z' ae m' oe k' k' i t a l o j s
kezän	k' e! z' ae n
kezäpertil	k' e! z' ae p' e r t' i l
kezäpäivy	k' e! z' ae p' ae j v' y
kezäpäivänny	k' e! z' ae p' ae j v' ae n' y
kezäpäivänny	k' e! z' ae p' ae j v' ae n' n' y
kezäs	k' e! z' ae s
kezät	k' e! z' ae t
kezätaloin	k' e! z' ae t a l o j n
kezätalois	k' e! z' ae t a l o j s
kezävaldaine	k' e! z' ae v a l d a j n' e
kibevynnyžii	k' i! b' e v' y n' y zh i^:
kibevynnyžii	k' i! b' e v' y n' n' y zh i^:
kibiedy	k' i! b' i e d' y
kida	k' i! d a
kidua	k' i! d u a
kiehu	k' i! e h u
kiehui	k' i! e h u j
kiehumah	k' i! e h u m a h
kielaskukki	k' i! e l a s k u k' i
kielaskukki	k' i! e l a s k u k' k' i
kielasta	k' i! e l a s t a
kielastannet	k' i! e l a s t a n' e t
kielastannet	k' i! e l a s t a n' n' e t
kielastele	k' i! e l a s t' e l' e
kielastua	k' i! e l a s t u a
kielastustu	k' i! e l a s t u s t u
kieldi	k' i! e l d' i
kieldiä	k' i! e l d' i ae
kieldy	k' i! e l d' y
kieldävytty	k' i! e l d' ae v' y t' y
kieldävytty	k' i! e l d' ae v' y t' t' y
kieldää	k' i! e l d' ae:
kieleh	k' i! e l' e h
kielehgi	k' i! e l' e h g' i
kielel	k' i! e l' e l
kielele	k' i! e l' e l' e
kielen	k' i! e l' e n
kielenpieksäi	k' i! e l' e n p' i e k s' ae j
kieles	k' i! e l' e s
kielespäi	k' i! e l' e s p' ae j
kielet	k' i! e l' e t
kielettih	k' i! e l' e t' i h
kielettih	k' i! e l' e t' t' i h
kieletty	k' i! e l' e t' y
kieletty	k' i! e l' e t' t' y
kieli	k' i! e l' i
kielil	k' i! e l' i l
kielinevvondois	k' i! e l' i n' e v o n d o j s
kielinevvondois	k' i! e l' i n' e v v o n d o j s
kielis	k' i! e l' i s
kierdi	k' i! e r d' i
kierdomus	k' i! e r d o m u s
kiini	k' i:! n' i
kiinitetty	k' i:! n' i t' e t' y
kiinitetty	k' i:! n' i t' e t' t' y
kiirehel	k' i:! r' e h' e l
kiirehesti	k' i:! r' e h' e s t' i
kiirehettäh	k' i:! r' e h' e t' ae h
kiirehettäh	k' i:! r' e h' e t' t' ae h
kiirehissäh	k' i:! r' e h' i s' ae h
kiirehissäh	k' i:! r' e h' i s' s' ae h
kiirehtetä	k' i:! r' e h t' e t' ae
kiirehtetäh	k' i:! r' e h t' e t' ae h
kiirehti	k' i:! r' e h t' i
kiirehtäkkiä	k' i:! r' e h t' ae k' i ae
kiirehtäkkiä	k' i:! r' e h t' ae k' k' i ae
kiirehtämättäh	k' i:! r' e h t' ae m' ae t' ae h
kiirehtämättäh	k' i:! r' e h t' ae m' ae t' t' ae h
kiirehtämätä	k' i:! r' e h t' ae m' ae t' ae
kiistah	k' i:! s t a h
kiistai	k' i:! s t a j
kiistää	k' i:! s t' ae:
kiitetäh	k' i:! t' e t' ae h
kiitostu	k' i:! t o s t u
kiittiä	k' i:! t' i ae
kiittiä	k' i:! t' t' i ae
kiittämäh	k' i:! t' ae m' ae h
kiittämäh	k' i:! t' t' ae m' ae h
kiitän	k' i:! t' ae n
kiiškoilan	k' i:! sh k o j l a n
kilometrii	k' i! l o m' e t r' i:
kilometrin	k' i! l o m' e t r' i n
kiluo	k' i! l u o
kilvat	k' i! l v a t
kim	k' i! m
kinermas	k' i! n' e r m a s
kino	k' i! n o
kinospäi	k' i! n o s p' ae j
kinuo	k' i! n u o
kinčulois	k' i! n ch u l o j s
kirboi	k' i! r b o j
kirboimmo	k' i! r b o j m o
kirboimmo	k' i! r b o j m m o
kird'utti	k' i! r d' u t' i
kird'utti	k' i! r d' u t' t' i
kirgai	k' i! r g a j
kirgain	k' i! r g a j n
kirguau	k' i! r g u a u
kirikkyö	k' i! r' i k' y oe
kirikkyö	k' i! r' i k' k' y oe
kirikkö	k' i! r' i k' oe
kirikkö	k' i! r' i k' k' oe
kirikköalovehel	k' i! r' i k' oe a l o v' e h' e l
kirikköalovehel	k' i! r' i k' k' oe a l o v' e h' e l
kirikköh	k' i! r' i k' oe h
kirikköh	k' i! r' i k' k' oe h
kirikköine	k' i! r' i k' oe j n' e
kirikköine	k' i! r' i k' k' oe j n' e
kirikköpruazniekoinnu	k' i! r' i k' oe p r u a z n' i e k o j n u
kirikköpruazniekoinnu	k' i! r' i k' k' oe p r u a z n' i e k o j n u
kirikköpruazniekoinnu	k' i! r' i k' oe p r u a z n' i e k o j n n u
kirikköpruazniekoinnu	k' i! r' i k' k' oe p r u a z n' i e k o j n n u
kiriköis	k' i! r' i k' oe j s
kirikön	k' i! r' i k' oe n
kirikös	k' i! r' i k' oe s
kirikössäh	k' i! r' i k' oe s' ae h
kirikössäh	k' i! r' i k' oe s' s' ae h
kiriköt	k' i! r' i k' oe t
kirjailijaliittoh	k' i! r j a j l' i j a l' i: t o h
kirjailijaliittoh	k' i! r j a j l' i j a l' i: t t o h
kirjailijan	k' i! r j a j l' i j a n
kirjailijoin	k' i! r j a j l' i j o j n
kirjal	k' i! r j a l
kirjale	k' i! r j a l' e
kirjandu	k' i! r j a n d u
kirjastos	k' i! r j a s t o s
kirjastu	k' i! r j a s t u
kirjattomannu	k' i! r j a t o m a n u
kirjattomannu	k' i! r j a t t o m a n u
kirjattomannu	k' i! r j a t o m a n n u
kirjattomannu	k' i! r j a t t o m a n n u
kirjavat	k' i! r j a v a t
kirjuta	k' i! r j u t a
kirjutammo	k' i! r j u t a m o
kirjutammo	k' i! r j u t a m m o
kirjutan	k' i! r j u t a n
kirjutannuh	k' i! r j u t a n u h
kirjutannuh	k' i! r j u t a n n u h
kirjutat	k' i! r j u t a t
kirjutatto	k' i! r j u t a t o
kirjutatto	k' i! r j u t a t t o
kirjuteta	k' i! r j u t' e t a
kirjutettih	k' i! r j u t' e t' i h
kirjutettih	k' i! r j u t' e t' t' i h
kirjutettu	k' i! r j u t' e t u
kirjutettu	k' i! r j u t' e t t u
kirjutettuu	k' i! r j u t' e t u:
kirjutettuu	k' i! r j u t' e t t u:
kirjutetut	k' i! r j u t' e t u t
kirjutiimmo	k' i! r j u t' i: m o
kirjutiimmo	k' i! r j u t' i: m m o
kirjutimmo	k' i! r j u t' i m o
kirjutimmo	k' i! r j u t' i m m o
kirjutimmos	k' i! r j u t' i m o s
kirjutimmos	k' i! r j u t' i m m o s
kirjutin	k' i! r j u t' i n
kirjutittogo	k' i! r j u t' i t o g o
kirjutittogo	k' i! r j u t' i t t o g o
kirjuttaa	k' i! r j u t a:
kirjuttaa	k' i! r j u t t a:
kirjuttai	k' i! r j u t a j
kirjuttai	k' i! r j u t t a j
kirjuttajaa	k' i! r j u t a j a:
kirjuttajaa	k' i! r j u t t a j a:
kirjuttajakse	k' i! r j u t a j a k s' e
kirjuttajakse	k' i! r j u t t a j a k s' e
kirjuttajal	k' i! r j u t a j a l
kirjuttajal	k' i! r j u t t a j a l
kirjuttajien	k' i! r j u t a j i e n
kirjuttajien	k' i! r j u t t a j i e n
kirjuttajii	k' i! r j u t a j i:
kirjuttajii	k' i! r j u t t a j i:
kirjuttajil	k' i! r j u t a j i l
kirjuttajil	k' i! r j u t t a j i l
kirjuttamižes	k' i! r j u t a m' i zh e s
kirjuttamižes	k' i! r j u t t a m' i zh e s
kirjuttamižien	k' i! r j u t a m' i zh i^ e n
kirjuttamižien	k' i! r j u t t a m' i zh i^ e n
kirjuttanuh	k' i! r j u t a n u h
kirjuttanuh	k' i! r j u t t a n u h
kirjuttau	k' i! r j u t a u
kirjuttau	k' i! r j u t t a u
kirjuttua	k' i! r j u t u a
kirjuttua	k' i! r j u t t u a
kirjutuksen	k' i! r j u t u k s' e n
kirjutukses	k' i! r j u t u k s' e s
kirjutukset	k' i! r j u t u k s' e t
kirjutuksii	k' i! r j u t u k s' i:
kirjutus	k' i! r j u t u s
kirjutusruadoh	k' i! r j u t u s r u a d o h
kirjutustaibalehel	k' i! r j u t u s t a j b a l' e h' e l
kirjutustu	k' i! r j u t u s t u
kirkei	k' i! r k' e j
kirkeikieline	k' i! r k' e j k' i e l' i n' e
kirkkahan	k' i! r k a h a n
kirkkahan	k' i! r k k a h a n
kirmei	k' i! r m' e j
kirmieh	k' i! r m' i e h
kirosana	k' i! r o s a n a
kirottih	k' i! r o t' i h
kirottih	k' i! r o t' t' i h
kirpičas	k' i! r p' i ch a s
kirpičat	k' i! r p' i ch a t
kirpičzavodalluo	k' i! r p' i ch z a v o d a l u o
kirpičzavodalluo	k' i! r p' i ch z a v o d a l l u o
kirpičät	k' i! r p' i ch ae t
kirpiččiä	k' i! r p' i ch i ae
kirpiččiä	k' i! r p' i ch ch i ae
kirpiččuzavodu	k' i! r p' i ch u z a v o d u
kirpiččuzavodu	k' i! r p' i ch ch u z a v o d u
kirraten	k' i! r a t' e n
kirraten	k' i! r r a t' e n
kirrattih	k' i! r a t' i h
kirrattih	k' i! r r a t' i h
kirrattih	k' i! r a t' t' i h
kirrattih	k' i! r r a t' t' i h
kirru	k' i! r u
kirru	k' i! r r u
kirruimmo	k' i! r u j m o
kirruimmo	k' i! r r u j m o
kirruimmo	k' i! r u j m m o
kirruimmo	k' i! r r u j m m o
kirrummo	k' i! r u m o
kirrummo	k' i! r r u m o
kirrummo	k' i! r u m m o
kirrummo	k' i! r r u m m o
kirrutah	k' i! r u t a h
kirrutah	k' i! r r u t a h
kirskahtettiheze	k' i! r s k a h t' e t' i h' e z' e
kirskahtettiheze	k' i! r s k a h t' e t' t' i h' e z' e
kirtettih	k' i! r t' e t' i h
kirtettih	k' i! r t' e t' t' i h
kiruomah	k' i! r u o m a h
kirvehel	k' i! r v' e h' e l
kirvehen	k' i! r v' e h' e n
kirves	k' i! r v' e s
kirvesmiehel	k' i! r v' e s m' i e h' e l
kirvesmiehen	k' i! r v' e s m' i e h' e n
kirvesmiehenny	k' i! r v' e s m' i e h' e n' y
kirvesmiehenny	k' i! r v' e s m' i e h' e n' n' y
kirvesmiehet	k' i! r v' e s m' i e h' e t
kirvesmiehikse	k' i! r v' e s m' i e h' i k s' e
kirvesruadajat	k' i! r v' e s r u a d a j a t
kirvesty	k' i! r v' e s t' y
kirčisteli	k' i! r ch i s t' e l' i
kirčistellen	k' i! r ch i s t' e l' e n
kirčistellen	k' i! r ch i s t' e l' l' e n
kissi	k' i! s' i
kissi	k' i! s' s' i
kiveh	k' i! v' e h
kivel	k' i! v' e l
kiven	k' i! v' e n
kivet	k' i! v' e t
kivettih	k' i! v' e t' i h
kivettih	k' i! v' e t' t' i h
kivi	k' i! v' i
kivii	k' i! v' i:
kivilouhimole	k' i! v' i l o u h' i m o l' e
kivilöil	k' i! v' i l' oe j l
kivilöin	k' i! v' i l' oe j n
kivipäččižeh	k' i! v' i p' ae ch i zh e h
kivipäččižeh	k' i! v' i p' ae ch ch i zh e h
kivišti	k' i! v' i sh t' i
kivištykset	k' i! v' i sh t' y k s' e t
kivokset	k' i! v o k s' e t
kivyöt	k' i! v' y oe t
kiändi	k' i! ae n d' i
kiändiä	k' i! ae n d' i ae
kiändyi	k' i! ae n d' y j
kiändyy	k' i! ae n d' y:
kiändyö	k' i! ae n d' y oe
kiändäjiä	k' i! ae n d' ae j i ae
kiändänyh	k' i! ae n d' ae n' y h
kiändäy	k' i! ae n d' ae y
kiänetty	k' i! ae n' e t' y
kiänetty	k' i! ae n' e t' t' y
kiänin	k' i! ae n' i n
kiännettihgo	k' i! ae n' e t' i h g o
kiännettihgo	k' i! ae n' n' e t' i h g o
kiännettihgo	k' i! ae n' e t' t' i h g o
kiännettihgo	k' i! ae n' n' e t' t' i h g o
kiännetty	k' i! ae n' e t' y
kiännetty	k' i! ae n' n' e t' y
kiännetty	k' i! ae n' e t' t' y
kiännetty	k' i! ae n' n' e t' t' y
kiännettyy	k' i! ae n' e t' y:
kiännettyy	k' i! ae n' n' e t' y:
kiännettyy	k' i! ae n' e t' t' y:
kiännettyy	k' i! ae n' n' e t' t' y:
kiänny	k' i! ae n' y
kiänny	k' i! ae n' n' y
kiännyttih	k' i! ae n' y t' i h
kiännyttih	k' i! ae n' n' y t' i h
kiännyttih	k' i! ae n' y t' t' i h
kiännyttih	k' i! ae n' n' y t' t' i h
kiännälmys	k' i! ae n' ae l m' y s
kiännälmys	k' i! ae n' n' ae l m' y s
kiännälmysty	k' i! ae n' ae l m' y s t' y
kiännälmysty	k' i! ae n' n' ae l m' y s t' y
kiänyin	k' i! ae n' y j n
kiänykkiä	k' i! ae n' y k' i ae
kiänykkiä	k' i! ae n' y k' k' i ae
kiänyty	k' i! ae n' y t' y
kiänytäh	k' i! ae n' y t' ae h
kiänäkkiä	k' i! ae n' ae k' i ae
kiänäkkiä	k' i! ae n' ae k' k' i ae
kiänäldi	k' i! ae n' ae l d' i
kiänäldih	k' i! ae n' ae l d' i h
kiänäldimmös	k' i! ae n' ae l d' i m' oe s
kiänäldimmös	k' i! ae n' ae l d' i m' m' oe s
kiänäldin	k' i! ae n' ae l d' i n
kiänän	k' i! ae n' ae n
kiäri	k' i! ae r' i
kiäriettö	k' i! ae r' i e t' oe
kiäriettö	k' i! ae r' i e t' t' oe
kiärildi	k' i! ae r' i l d' i
kiättih	k' i! ae t' i h
kiättih	k' i! ae t' t' i h
kičakon	k' i! ch a k o n
kičitellen	k' i! ch i t' e l' e n
kičitellen	k' i! ch i t' e l' l' e n
kičkistelyy	k' i! ch k' i s t' e l' y:
kiškoi	k' i! sh k o j
kiškokkua	k' i! sh k o k u a
kiškokkua	k' i! sh k o k k u a
kiškomah	k' i! sh k o m a h
kiškondan	k' i! sh k o n d a n
kiškondat	k' i! sh k o n d a t
kiškondu	k' i! sh k o n d u
kiškottih	k' i! sh k o t' i h
kiškottih	k' i! sh k o t' t' i h
kižaimmo	k' i! zh a j m o
kižaimmo	k' i! zh a j m m o
kižat	k' i! zh a t
kiži	k' i! zh i^
kižih	k' i! zh i^ h
kižin	k' i! zh i^ n
kižis	k' i! zh i^ s
kižuamah	k' i! zh u a m a h
klaasassah	k l a:! s a s a h
klaasassah	k l a:! s a s s a h
klaassa	k l a:! s a
klaassa	k l a:! s s a
klaassaa	k l a:! s a:
klaassaa	k l a:! s s a:
klassas	k l a! s a s
klassas	k l a! s s a s
klassiekku	k l a! s' i e k u
klassiekku	k l a! s' s' i e k u
klassiekku	k l a! s' i e k k u
klassiekku	k l a! s' s' i e k k u
klava	k l a! v a
klavdija	k l a! v d' i j a
kleppa	k l' e! p a
kleppa	k l' e! p p a
kliimoin	k l' i:! m o j n
kluasan	k l u! a s a n
kluassah	k l u! a s a h
kluassah	k l u! a s s a h
kluassan	k l u! a s a n
kluassan	k l u! a s s a n
kluassua	k l u! a s u a
kluassua	k l u! a s s u a
klumbat	k l u! m b a t
kluubah	k l u:! b a h
kluuban	k l u:! b a n
kluubas	k l u:! b a s
kluubaspäi	k l u:! b a s p' ae j
kluubu	k l u:! b u
kniigaine	k n' i:! g a j n' e
kniigan	k n' i:! g a n
kniigas	k n' i:! g a s
kniigat	k n' i:! g a t
kniigoi	k n' i:! g o j
kniigu	k n' i:! g u
kniigua	k n' i:! g u a
kobeloitti	k o! b' e l o j t' i
kobeloitti	k o! b' e l o j t' t' i
kobrah	k o! b r a h
kobras	k o! b r a s
kobristajen	k o! b r' i s t a j e n
kobrištau	k o! b r' i sh t a u
kodas	k o! d a s
kodi	k o! d' i
kodialovehen	k o! d' i a l o v' e h' e n
kodialovehmuzeih	k o! d' i a l o v' e h m u z' e j h
kodih	k o! d' i h
kodihpäi	k o! d' i h p' ae j
kodihälylöis	k o! d' i h' ae l' y l' oe j s
kodii	k o! d' i:
kodikas	k o! d' i k a s
kodiloi	k o! d' i l o j
kodiloih	k o! d' i l o j h
kodiloil	k o! d' i l o j l
kodiloin	k o! d' i l o j n
kodilois	k o! d' i l o j s
kodimuale	k o! d' i m u a l' e
kodiniekakse	k o! d' i n' i e k a k s' e
kodiniekan	k o! d' i n' i e k a n
kodipihah	k o! d' i p' i h a h
kodipuoleh	k o! d' i p u o l' e h
kodirandaine	k o! d' i r a n d a j n' e
kodirandua	k o! d' i r a n d u a
kodirannan	k o! d' i r a n a n
kodirannan	k o! d' i r a n n a n
kodiruadoloi	k o! d' i r u a d o l o j
kodiruadoloih	k o! d' i r u a d o l o j h
kodissah	k o! d' i s a h
kodissah	k o! d' i s s a h
koditaloi	k o! d' i t a l o j
kodivehkehii	k o! d' i v' e h k' e h' i:
kodizes	k o! d' i z' e s
kodoilah	k o! d o j l a h
kodoilan	k o! d o j l a n
kodoimuale	k o! d o j m u a l' e
kodoin	k o! d o j n
kodvaine	k o! d v a j n' e
kodvaizen	k o! d v a j z' e n
kodvan	k o! d v a n
kodvastunnužien	k o! d v a s t u n u zh i^ e n
kodvastunnužien	k o! d v a s t u n n u zh i^ e n
kodvazen	k o! d v a z' e n
kodvažekse	k o! d v a zh e k s' e
kodvažen	k o! d v a zh e n
kodžat	k o! d zh a t
kogo	k o! g o
kogonah	k o! g o n a h
kogonaine	k o! g o n a j n' e
kohendau	k o! h' e n d a u
kohendella	k o! h' e n d' e l a
kohendella	k o! h' e n d' e l l a
kohendetah	k o! h' e n d' e t a h
kohendettaš	k o! h' e n d' e t a sh
kohendettaš	k o! h' e n d' e t t a sh
kohendettih	k o! h' e n d' e t' i h
